Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks,Popularity,Youtube viewcount,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,Artist_grammy_wins,Artist_grammy_nominations,Song_release_date,Genres
No More Drama,MARY J BLIGE,1,74,15,20,43,31763044,0.659,0.852,6.0,-6.8420000000000005,0.0,0.14300000000000002,0.584,0.000331,0.0812,0.6859999999999999,97.963,326240.0,4.0,0,0,0,9,31,2001,
Too Bad,NICKELBACK,2,79,42,20,55,27465616,0.598,0.8079999999999999,10.0,-5.209,1.0,0.0388,0.00304,0.0,0.147,0.28800000000000003,128.025,232240.0,4.0,0,0,0,0,5,"February 26, 2002",
Halfcrazy,MUSIQ,2,81,16,25,47,24749110,0.406,0.765,11.0,-6.444,0.0,0.189,0.476,0.0,0.0492,0.438,101.954,254493.0,3.0,0,0,0,0,12,"JanuaryÂ 29,Â 2002",
How Come You Don't Call Me,ALICIA KEYS,2,74,59,9,45,7644623,0.835,0.547,6.0,-7.69,0.0,0.0515,0.155,0.000291,0.0579,0.759,124.561,237627.0,3.0,0,0,0,15,29,"September 24, 1982",
The Long Goodbye,BROOKS &amp; DUNN,1,75,39,20,37,1783669,0.498,0.619,8.0,-5.939,1.0,0.0297,0.263,1.42e-05,0.107,0.569,145.384,229987.0,4.0,0,0,0,0,0,0,
Modern Day Bonnie And Clyde,TRAVIS TRITT,2,73,55,11,53,2391766,0.647,0.8740000000000001,9.0,-5.075,0.0,0.0337,0.101,1.7899999999999998e-05,0.277,0.918,89.727,284173.0,4.0,0,0,0,2,9,"January 7, 2002",
I Should Be Sleeping,EMERSON DRIVE,2,84,35,20,41,1375274,0.496,0.895,8.0,-4.027,1.0,0.147,0.205,0.0,0.0626,0.654,164.363,177000.0,4.0,0,0,0,0,1,"October 22, 2001",
I Don't Have To Be Me ('Til Monday),STEVE AZAR,2,73,35,20,46,3084898,0.4970000000000001,0.7170000000000001,8.0,-4.224,1.0,0.0303,0.201,0.0,0.0458,0.7709999999999999,168.99900000000005,196952.0,4.0,0,0,0,0,0,"OctoberÂ 1,Â 2001",
Crawling In The Dark,HOOBASTANK,2,77,68,19,59,15682076,0.5920000000000001,0.932,6.0,-4.4910000000000005,0.0,0.0885,0.000295,7.59e-05,0.138,0.698,93.675,175027.0,4.0,0,0,0,0,2,"April 2, 2002",
Living And Living Well,GEORGE STRAIT,2,75,27,20,44,135302,0.594,0.713,1.0,-4.979,1.0,0.029,0.411,6.09e-05,0.0973,0.625,120.899,217453.0,4.0,0,0,0,1,16,"February 4, 2002",
Soak Up The Sun,SHERYL CROW,2,73,17,29,54,19315497,0.715,0.75,4.0,-4.898,1.0,0.0448,0.0418,0.0,0.139,0.71,119.992,292307.0,4.0,0,0,0,9,31,25 March 2002,
Awnaw,NAPPY ROOTS,2,97,51,20,47,5072893,0.721,0.6779999999999999,7.0,-3.703,1.0,0.258,0.00521,0.0,0.153,0.7120000000000001,160.023,241373.0,4.0,0,0,0,0,2,"DecemberÂ 4,Â 2001",
Take Ya Home,LIL BOW WOW,2,75,72,7,25,974573,0.812,0.804,1.0,-4.395,0.0,0.248,0.0298,1.13e-05,0.0806,0.935,94.017,239520.0,4.0,0,0,0,0,0,2002â03,
That's Just Jessie,KEVIN DENNEY,2,98,76,17,32,424337,0.488,0.6809999999999999,5.0,-6.025,1.0,0.0371,0.173,0.0,0.393,0.401,171.981,232267.0,4.0,0,0,0,0,0,"December 8, 2001",
Video,JEFF LYNNE,84,87,85,3,17,82275,0.762,0.443,11.0,-17.531,1.0,0.174,0.011,3.69e-06,0.0782,0.774,100.174,254467.0,4.0,0,0,0,1,5,2014,
Any Other Night,SHARISSA,2,99,72,14,27,1912798,0.737,0.528,4.0,-7.801,0.0,0.124,0.152,0.0,0.112,0.602,77.0,227416.0,4.0,0,0,0,0,0,"AugustÂ 13,Â 2002",
Feels Good (Don't Worry Bout A Thing),NAUGHTY BY NATURE featuring 3LW,2,93,53,20,39,771934,0.905,0.703,10.0,-2.345,1.0,0.17600000000000002,0.0793,0.0,0.0554,0.865,94.999,253627.0,4.0,0,0,0,0,0,2001â2002,
Wish I Didn't Miss You,ANGIE STONE,2,92,79,19,59,11697069,0.855,0.74,10.0,-5.6629999999999985,1.0,0.0326,0.385,0.000967,0.174,0.8340000000000001,123.872,270893.0,4.0,0,0,0,0,3,"JuneÂ 24,Â 2002",
