Song,Artist,Endurance_Score,Predicted_Endurance_Score,Entry_Position,Peak_Position,Total_Weeks,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,Artist_grammy_wins,Artist_grammy_nominations,artist popularity,TopSongsArtist,TopSongsArtist10,days_before_charting,TopSongsArtist100,Entry_Year,Age_Percentage_15_30
"December 1963 (Oh, What A Night)",FOUR SEASONS,0.860372102,0.758150286,79,14,27,0.727,0.588,1,-9.568,0.0253,0.058,5.46E-06,0.0414,0.964,104.413,201093,4,0,0,0,0,2,57.77835159,2,2,0,7,1994,21.8
I'm Gonna Love You Through It,MARTINA McBRIDE,0.812095681,0.757997459,77,77,1,0.427,0.684,5,-4.973,0.0345,0.311,0,0.112,0.277,142.621,225560,4,0,0,0,0,14,63,0,0,0,17,2011,20.9
Heat And Soul,THE INCREDIBLES,0.461858947,0.416522479,124,122,2,0.823,0.665,1,-13.8,0.0679,0.0317,0.00032,0.05,0.854,112.173,367440,4,0,0,0,0,0,57.77835159,0,0,0,0,1967,22.5
Stop And Stare,ONEREPUBLIC,0.896723139,0.915221317,98,12,31,0.49,0.849,4,-4.234,0.035,0.0593,0,0.082,0.303,92.494,223853,4,0,0,0,0,1,88,0,2,0,9,2007,20.9
Tears From An Angel,TROY SHONDELL,0.21080307,0.260858983,96,77,6,0.597,0.499,3,-10.989,0.0276,0.9,1.38E-06,0.299,0.817,99.726,140560,4,0,0,0,0,0,11,0,0,0,2,1961,19.9
26 Cents,THE WILKINSONS,0.689003919,0.668289694,84,55,18,0.641,0.462,11,-7.99,0.0265,0.65,0,0.159,0.317,101.067,231400,4,0,0,0,0,0,27,0,0,46,2,1998,20.9
Fine Again,SEETHER,0.85646933,0.855905882,72,61,20,0.429,0.855,6,-2.947,0.0298,0.000441,0.0188,0.209,0.337,175.554,245594,4,0,0,0,0,0,75,0,0,119,6,2002,20.8
Pretty Vegas,INXS,0.765715002,0.779031619,37,37,3,0.624,0.922,5,-4.536,0.0604,0.00121,2.46E-05,0.0785,0.676,141.968,205413,4,0,0,0,0,3,71,1,6,0,10,2005,21
Fool For A Pretty Face,HUMBLE PIE,0.502518593,0.599312851,85,52,7,0.551,0.831,3,-9.13,0.0777,0.0237,1.13E-05,0.265,0.735,127.478,257213,4,0,0,0,0,0,46,0,0,0,3,1980,27.4
Frankie And Johnny,SAM COOKE,0.692883673,0.709838169,89,14,11,0.515,0.486,5,-9.718,0.215,0.407,0,0.738,0.555,118.218,180147,4,0,0,1,0,6,73,0,3,0,17,1963,20.8
