,Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks,Popularity,Youtube viewcount,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,artist popularity,TopSongsArtist,TopSongsArtist10,TopSongsArtist100
83,California Sun,RIVIERAS,1/18/1964,123,5,11,35,2101633,0.41100000000000003,0.9079999999999999,3.0,-8.693,1.0,0.0535,0.409,0.0842,0.106,0.9620000000000001,169.63,146133.0,4.0,0,0,0,28.0,0,1,3
84,Hello Walls,FARON YOUNG,4/10/1961,97,12,15,43,3885344,0.62,0.406,0.0,-10.421,1.0,0.0281,0.722,6.73e-06,0.114,0.695,101.48899999999999,146840.0,4.0,1,0,0,43.0,0,0,4
85,Hearts Of Stone,THE BLUE RIDGE RANGERS,3/31/1973,84,37,12,17,172739,0.695,0.568,11.0,-8.164,1.0,0.0915,0.843,0.0,0.0905,0.73,76.488,154200.0,4.0,0,0,0,57.77835159102765,0,0,2
86,Ground Hog,BROWNS,4/10/1961,100,97,3,4,8892,0.68,0.483,2.0,-11.154000000000002,1.0,0.0261,0.418,0.0,0.0735,0.919,96.93,133987.0,4.0,0,0,0,30.0,0,0,1
87,Gidget Goes Hawaiian,DUANE EDDY,4/3/1961,105,101,2,3,2350,0.596,0.655,7.0,-11.685,1.0,0.0272,0.596,0.8320000000000001,0.0598,0.925,93.779,139667.0,4.0,0,0,0,47.0,0,2,14
88,(Theme From) The Great Imposter,HENRY MANCINI AND HIS ORCHESTRA,3/13/1961,115,90,5,4,5405,0.452,0.488,9.0,-10.255,1.0,0.032,0.48700000000000004,0.00907,0.31,0.203,84.62700000000001,169067.0,4.0,0,0,1,57.77835159102765,1,0,6
89,Be My Boy,PARIS SISTERS,4/10/1961,105,56,7,5,46291,0.17300000000000001,0.10099999999999999,1.0,-16.909000000000002,1.0,0.0424,0.904,6.39e-05,0.113,0.21100000000000002,184.768,118960.0,3.0,0,0,0,32.0,0,0,1
90,Love Or Money,THE BLACKWELLS,4/10/1961,107,107,1,0,6998,0.5,0.688,1.0,-7.6739999999999995,0.0,0.0378,0.664,0.0,0.223,0.858,131.843,147400.0,4.0,0,0,0,2.0,0,0,0
91,You Set My Heart To Music,JOHNNY MATHIS,4/10/1961,109,107,2,2,25217,0.19899999999999998,0.35200000000000004,0.0,-11.860999999999999,1.0,0.0324,0.875,0.0,0.168,0.198,84.19200000000001,163560.0,3.0,0,0,1,63.0,0,2,17
92,African Waltz,JOHNNY DANKWORTH,4/10/1961,111,101,4,4,44139,0.5,0.53,3.0,-9.656,1.0,0.035,0.125,0.043,0.307,0.8959999999999999,118.773,142120.0,3.0,0,0,0,26.0,0,0,0
