Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks,Popularity,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,Artist_grammy_wins,Artist_grammy_nominations
Shotgun,JUNIOR WALKER &amp; THE ALL STARS,2/13/65,80,4,14,-1,2,0,0,0,0
The Birds And The Bees,JEWEL AKENS,1/23/65,100,3,14,12,0,0,0,0,4
King Of The Road,ROGER MILLER,1/30/65,63,4,13,54,2,0,0,11,18
Game Of Love,WAYNE FONTANA AND THE MINDBENDERS,3/13/65,117,1,12,28,1,0,0,0,0
Nowhere To Run,SANTANA,11/27/82,79,66,8,17,0,0,0,8,12
I Know A Place,PETULA CLARK,3/20/65,94,3,12,33,0,0,0,2,9
Red Roses For A Blue Lady,WAYNE NEWTON,2/6/65,127,23,12,17,0,0,0,0,0
Eight Days A Week,BEATLES,2/20/65,53,1,10,55,0,0,0,7,23
Do You Wanna Dance,LOVE SOCIETY,8/10/68,118,108,6,-1,0,0,0,0,0
Tired Of Waiting For You,KINKS,3/6/65,114,6,12,43,0,0,0,0,0
Goldfinger,JACK LaFORGE ORCHESTRA,1/16/65,119,96,8,-1,0,0,0,0,0
Go Now,MOODY BLUES,2/13/65,130,10,15,38,1,0,0,0,0
The Race Is On,JACK JONES,2/20/65,129,15,12,10,0,0,0,2,5
Long Lonely Nights,BOBBY VINTON,3/6/65,80,17,7,35,0,0,0,0,1
Ferry Cross The Mersey,GERRY AND THE PACEMAKERS,2/6/65,61,6,11,45,0,0,0,0,0
The Clapping Song,SHIRLEY ELLIS,3/20/65,75,8,9,38,0,0,0,0,0
Do The Clam,ELVIS PRESLEY,2/27/65,68,21,8,18,0,0,1,3,14
Send Me The Pillow You Dream On,JOHNNY TILLOTSON,8/11/62,70,17,9,27,0,0,0,0,1
If I Loved You,CHAD &amp; JEREMY,2/20/65,77,23,9,-1,0,0,0,0,0
I'll Be Doggone,MARVIN GAYE,3/20/65,80,8,12,29,0,0,1,2,12
Don't Let Me Be Misunderstood,SANTA ESMERALDA starring LEROY GOMEZ,11/5/77,91,15,19,-1,0,0,0,0,0
Come And Stay With Me,MARIANNE FAITHFULL,2/27/65,93,26,9,7,0,0,0,0,0
Bumble Bee,LaVERN BAKER,11/7/60,111,46,12,32,0,0,0,0,0
My Girl,DYLAN SCOTT,5/13/17,93,39,20,73,0,0,0,0,0
When I'm Gone,3 DOORS DOWN,11/23/02,67,4,45,64,0,0,0,0,0
The Last Time,ROLLING STONES,3/27/65,79,9,10,41,0,0,1,2,11
Got To Get You Off My Mind,SOLOMON BURKE,3/6/65,91,22,10,38,0,0,0,0,1
Little Things,INDIA.ARIE,9/28/02,92,89,13,31,0,0,0,0,0
One Kiss For Old Times Sake,RONNIE DOVE,3/13/65,92,14,11,8,0,0,0,0,0
Cast Your Fate To The Wind,SHELBY FLINT,7/30/66,134,61,9,9,0,0,0,0,0
Don't Mess Up A Good Thing,FONTELLA BASS &amp; BOBBY McCLURE,2/6/65,86,33,11,-1,0,0,0,0,2
I'll Never Find Another You,SEEKERS,3/20/65,135,4,14,47,0,0,0,0,0
If I Ruled The World,NAS,6/22/96,65,53,20,69,0,0,0,0,13
Peaches'n'Cream,IKETTES,3/13/65,79,36,8,-1,0,0,0,0,0
I Must Be Seeing Things,GENE PITNEY,2/20/65,131,31,8,27,0,0,0,0,0
Mr. Pitiful,OTIS REDDING,2/13/65,124,41,10,41,1,0,1,2,5
Ooo Baby Baby,MIRACLES,3/27/65,83,16,11,49,0,0,0,0,0
Come See,MAJOR LANCE,2/27/65,125,40,8,6,0,0,0,0,1
Silhouettes,HERMAN'S HERMITS,4/3/65,76,5,13,26,0,0,0,0,0
Land Of 1000 Dances,CHRIS KENNER,9/7/63,121,121,1,17,0,0,0,0,1
Anytime At All,FRANK SINATRA,3/6/65,123,46,7,-1,0,0,1,9,31
I Understand (Just How You Feel),THE G-CLEFS,9/11/61,107,9,17,-1,0,0,0,0,0
It's Growing,TEMPTATIONS,4/3/65,77,18,9,31,0,0,0,4,9
Girl Don't Come,SANDIE SHAW,2/20/65,134,42,11,29,0,0,0,0,0
She's About A Mover,OTIS CLAY,8/17/68,123,97,4,-1,0,0,0,0,1
Baby The Rain Must Fall,GLENN YARBROUGH,3/6/65,135,12,15,21,0,0,0,0,8
I Can't Stop Thinking About You,BOBBI MARTIN,3/6/65,118,46,9,-1,0,0,0,0,0
For Mama,JERRY VALE,2/27/65,121,54,7,13,0,0,0,0,0
Crazy Downtown,ALLAN SHERMAN,3/27/65,90,40,8,2,0,0,0,1,5
10 Little Bottles,JOHNNY BOND,2/27/65,126,43,10,10,0,0,0,0,1
Just Once In My Life,RIGHTEOUS BROTHERS,4/10/65,56,9,11,30,0,0,0,0,2
We're Gonna Make It,LITTLE MILTON,3/27/65,89,25,11,27,0,0,0,0,2
Never Never Leave Me,MARY WELLS,3/6/65,125,54,8,-1,0,0,0,0,3
Somebody Else Is Taking My Place,AL MARTINO,3/13/65,118,53,8,-1,0,0,0,0,0
And Roses And Roses,ANDY WILLIAMS,4/3/65,78,36,7,33,0,0,0,1,4
Count Me In,GARY LEWIS AND THE PLAYBOYS,4/3/65,88,2,11,33,0,0,0,0,0
It's Gonna Be Alright,GERRY AND THE PACEMAKERS,4/10/65,63,23,8,19,0,0,0,0,0
Woman's Got Soul,IMPRESSIONS,4/3/65,79,29,7,20,0,0,0,0,1
The Barracuda,ALVIN CASH,3/27/65,80,59,7,1,0,0,0,0,0
Poor Man's Son,SURVIVOR,10/17/81,78,33,14,16,0,0,0,1,1
The Birds Are For The Bees,NEWBEATS,4/3/65,74,50,7,1,0,0,0,0,0
Not Too Long Ago,UNIQUES,3/13/65,131,66,7,9,0,0,0,0,0
The Entertainer,BILLY JOEL,11/30/74,81,34,10,44,1,0,0,5,23
(Here They Come) From All Over The World,JAN AND DEAN,2/27/65,133,56,7,26,0,0,0,0,0
I Do Love You,GQ,6/30/79,85,20,17,44,0,0,0,0,0
It's Got The Whole World Shakin',SAM COOKE,4/10/65,72,41,7,-1,0,0,1,0,6
Truely Truely True,BRENDA LEE,4/3/65,90,54,6,-1,0,0,1,0,4
Subterranean Homesick Blues,BOB DYLAN,3/27/65,118,39,9,56,1,0,1,0,6
Whipped Cream,HERB ALPERT AND THE TIJUANA BRASS,2/20/65,100,68,12,37,0,0,0,8,24
Goodbye My Love,JAMES BROWN,11/9/68,75,31,7,16,0,0,1,0,4
Let's Do The Freddie,CHUBBY CHECKER,4/3/65,85,40,9,0,0,0,0,1,1
All Of My Life,LESLEY GORE,3/27/65,92,71,6,17,0,0,0,0,3
Out In The Streets,SHANGRI-LAS,4/3/65,96,53,6,23,0,0,0,0,0
Gee Baby (I'm Sorry),THREE DEGREES,3/6/65,100,80,8,6,0,0,0,0,0
Iko Iko,DIXIE CUPS,4/3/65,86,20,10,48,2,0,0,0,0
Wooly Bully,SAM THE SHAM AND THE PHARAOHS,3/27/65,128,2,19,49,2,0,0,0,0
Think Of The Good Times,JAY &amp; THE AMERICANS,3/27/65,94,57,8,-1,0,0,0,0,0
Toy Soldier,FOUR SEASONS,4/3/65,117,64,6,-1,0,0,0,0,2
