Song,Artist,Endurance_Score,Predicted_Endurance_Score
Who Booty,JONN HART featuring IAMSU,0.5223934074787983,0.515346027876223
Where Did Our Love Go,SUPREMES,0.5332644798268766,0.2862437463885557
Getting Mighty Crowded,BETTY EVERETT,0.21002573235048794,0.1550143516973622
Feelin' Way Too Damn Good,NICKELBACK,0.4604952595937292,0.5709580227794121
"Twist, Twist Senora",GARY (U.S.) BONDS,0.050012740807024,0.27700073955499194
Cherchez Laghost,GHOSTFACE KILLAH,0.43035229842120026,0.41799727204754866
No Money,GALANTIS,0.8461809629953089,0.38749363471805753
When She Says Baby,JASON ALDEAN,0.6129420390451246,0.4919018882297884
Bug A Boo,DESTINY'S CHILD,0.5037013699311726,0.35928597742619556
Cherry Hill Park,BILLY JOE ROYAL,0.19008551322092068,0.29608377523631035
For The First Time In Forever,KRISTEN BELL &amp; IDINA MENZEL,0.601074667081011,0.46518905509649777
Phenomenal,EMINEM,0.6282341679625509,0.622837900280617
Private Number,JUDY CLAY &amp; WILLIAM BELL,0.3101444034885439,0.15716579138283554
Once Bitten Twice Shy,GREAT WHITE,0.5527853022544201,0.40494277078461993
Save Your Kisses For Me,THE BROTHERHOOD OF MAN,0.27097962634056,0.2567667197786251
Still Here,DRAKE,0.6708061032336476,0.5883991518427298
Nobody's Home,AVRIL LAVIGNE,0.6078167725001649,0.6315866827327554
Lookin' Through The Windows,JACKSON 5,0.2501114746765973,0.30912172900724705
I Shall Sing,GARFUNKEL,0.30003467117435084,0.2758733512563471
If I Could Turn Back The Hands Of Time,R. KELLY,0.5095191901030821,0.3688330313339738
What You Give,TESLA,0.493490450344838,0.2752635356799425
Sick Of Being Lonely,FIELD MOB,0.4008684224034953,0.551618603868867
What Do You Want,JERROD NIEMANN,0.4938911806725422,0.4432033861752174
Years,BARBARA MANDRELL,0.1800241600143709,0.20187277922803257
Ffun,CON FUNK SHUN,0.4500814065394884,0.35466299028295006
We're Acting Like Lovers,THE SPELLBINDERS,1.820048833684901e-06,0.14639391806964916
He's Got No Love,SEARCHERS,0.1600027455407582,0.23359303062697542
Fools Fall In Love,ELVIS PRESLEY,0.2371550083264955,0.12189752431211673
Live For The Night,KREWELLA,0.5759158690518578,0.3784827502780529
Lost Her In The Sun,JOHN STEWART,0.04001696634404145,0.32404006490800064
Diamond Girl,SEALS AND CROFTS,0.4606802900611524,0.3928466511247355
Fall In Love With Me,BETTYE SWANN,0.1600072239075625,0.19570075968985134
Not So Sweet Martha Lorraine,COUNTRY JOE AND THE FISH,0.2801441529846981,0.21133037708446586
Love Is Better In The A.M. (Part 1),JOHNNIE TAYLOR,0.0800042990367531,0.2577529762722886
Megalomaniac,INCUBUS,0.5021156343006334,0.6178166281376763
Touch And Gone,GARY WRIGHT,0.01000201100858991,0.27751673829334966
Bitch Better Have My Money,RIHANNA,0.7421486383032748,0.7543120170547607
I Wonder If Heaven Got A Ghetto,2 PAC,0.4023809583447759,0.33082527198416806
That's How It Goes,BLOODSTONE,0.16000863366040352,0.23110030982764151
Let's Make Love Tonight,BOBBY RYDELL,0.010000830826125741,0.1909328406460338
East Side Rendezvous,FROST,0.290149965976449,0.2618605804251206
There's No Easy Way,JAMES INGRAM,0.4103213366575586,0.2533959257225532
Melanie Makes Me Smile,TONY BURROWS,0.010019941455176484,0.18582790337593302
Olena,DON NIX,0.040000978290785236,0.190583972266775
Go The Distance,MICHAEL BOLTON,0.5618544260090932,0.4108708375695621
Boulevard Of Broken Dreams,GREEN DAY,0.7743772284606687,0.8442147092079465
My Gal Sal,BURL IVES,0.020000338424415717,0.059032737702165605
And Roses And Roses,ANDY WILLIAMS,0.330000401690011,0.22584002826829774
Law,YO GOTTI featuring E-40,0.6376356837840235,0.5120180793340904
Orinoco Flow,ENYA,0.5228709515428894,0.2281426733338094
Here I Am,RICK ROSS featuring NELLY &amp; AVERY STORM,0.5552443819796139,0.5212754257289047
I Got A Bag Of My Own,JAMES BROWN,0.09000083547800775,0.27028180653255374
Ball Of Confusion (That's What the World Is Today),THE TEMPTATIONS,0.3704089011258485,0.3494408646970161
Drunk On You,LUKE BRYAN,0.6661886077516583,0.5496478648279612
So Sexy,TWISTA,0.4402915985714778,0.6286937902344671
Are You Happy,JERRY BUTLER,0.1400142303396414,0.22418431618123658
Can't Get Enough Of Your Love,TAYLOR DAYNE,0.4006706213570032,0.41322397516123427
Faded,SOULDECISION featuring THRUST,0.4201953336882777,0.5478172968567312
